No,Name,PML-N,IND,PTI-IND,Total Votes,Filename
382,Govt. Secondary School. (Special Education) (Baray Muttasra Smaat) 37/SP Road Pakpattan East     (Male),311,39,348,,
383,Govt.Secondary School. (Special Education) (Baray Muttasra Smaat) 37/SP Road Pakpattan West   (Female),219,42,278,,
384,Govt. Secondary School. (Special Education) (Baray Muttasra Smaat) 37/SP Road Pakpattan East    (Male),204,20,158,,
385,Govt.Secondary School. (Special Education) (Baray Muttasra Smaat) 37/SP Road Pakpattan West   (Female),156,24,130,,
386,"Office of the SDO.WAPDA Depalpur Road, Pak.   (Male)",202,20,229,,
387,"office of the XEN Wapda, Depalpur Road, Pakpattan    (Female)",150,22,192,,
388,"Office of the SDO.WAPDA Depalpur Road, Pak.   (Male)",317,16,389,,
389,"office of the XEN Wapda, Depalpur Road, Pakpattan     (Female)",218,16,282,,
390,"Office of the Market  Committee, Pakpattan  (East)    (Male)",398,31,573,,
391,"Office of the Market  Committee, Pakpattan (West)  (Female)",226,33,372,,
392,"Govt:MC Boys Middle School, No.2 Pakpattan, East     (Male)",321,13,356,,
393,"Govt: MC.Girls  High School, No.2 Pakpattan East  (Female)",213,25,288,,
394,"Govt:Boys High School, Urban Area, Pakpattan East    (Male)",330,10,408,,
395,"Govt:Boys High School, Urban Area,Pakpattan West  (Female)",257,21,294,,
396,"Govt:Boys High School, Urban Area, Pakpattan East   (Combined)",275,32,429,,
397,"Govt: MC.Boys Primary School, Pir Karyian East       (Male)",315,23,437,,
398,"Govt:MC Boys Primary School,Pir Karyian  West  (Female)",299,40,301,,
399,"Govt:MC Boys Primary School,Pir Karyian  West   (Combined)",405,31,568,,
400,"Office of the Social Welfare Office,  Pir Kot Road, Pakpattan East  (Combined)",357,44,608,,
401,Govt: Boys Primary School Pir kot   (Male),151,19,218,,
402,Govt: Boys Primary School Pir kot (Female),106,27,135,,
403,Govt:Boys Middle School Sufia Abad   (Combined),272,23,311,,
404,"Govt: Girls City High School West, Pakpattan   (High Portion   (Male)",411,34,469,,
405,Govt: Girls City High School  Pakpattan    (Female),366,32,363,,
406,Govt:Boys Middle School Sufia Abad  (Male),492,29,444,,
407,Govt:Girls Primary School Sufia Abad   (Female),342,36,277,,
408,"Govt: MC Girls Primary School, Pir Kot, East  (Male)",288,51,305,,
409,"Govt: MC Girls Primary School, Pir Kot, West (Female)",253,36,261,,
410,"Govt: Girls City High School East(Middle protion)  , Pakpattan    (Male)",155,14,223,,
411,Govt: Girls City High School (Middle protion)   (Male),181,15,301,,
412,"Govt: Girls City High School West, Pakpattan   (High Portion (Female)",245,38,403,,
413,"Govt:MC Girls High School, Circular  Road, Pakpattan  East    (Male)",202,9,327,,
414,"Govt:MC Girls High School, Circular  Road, Pakpattan West  (Female)",125,15,268,,
415,"Govt:MC.Boys High School, No.1 near Darbar, Pakpattan East    (Male)",324,18,376,,
416,"Govt:MC.Boys High School No.1 near Darbar, Pakpattan West    (Female)",251,23,301,,
417,"Govt:Boys Primary School, Khairabad   (Male)",204,20,235,,
418,"Govt:Boys Primary School, Khairabad  (Female)",132,8,139,,
419,Govt:Girls Primary School Soma (Combined),253,86,298,,
420,Govt:Boys Primary School Basti Ghous Nagar  (Male),237,40,198,,
421,"Govt:Girls Insaf Elementary School,, Basti Ghous Nagar (Female)",138,29,95,,
422,"Govt.Boys High School, Sahiwal Road, Pakpattan East   (Male)",336,39,448,,
423,"Govt.Boys High School, Sahiwal Road,Pakpattan  West (Female)",186,21,267,,
424,"Govt.Boys High School, Sahiwal Road, Pakpattan  North    (Male)",225,10,304,,
425,"Govt.Boys High School, Sahiwal Road,Pakpattan  South  (Female)",186,21,267,,
426,"Govt:  Fazil ka Islmia Boys High School, Pakpattan South   (Male)",321,20,420,,
427,"Govt:  Fazil ka Islmia Boys High School, Pakpattan North         (Female)",257,15,281,,
428,"Govt: MC Boys High School, No.1 near Darbar, Pakpattan North    (Male)",235,15,340,,
429,"Govt: MC Boys High School, No.1 near Darbar, Pakpattan North    (Female)",201,26,210,,
430,Arif Memorial Middle School (PEF) (Combined),350,44,442,,
431,ACPS Public School (PEF) Hussan Pura    (Male),214,25,258,,
432,ACPS Public School (PEF) Hussan Pura  (Female),155,24,192,,
433,"Govt::Boys Insaf Elementary  School,Eid Gah  near Kabir Chungi, Pakpattan      (Combined)",360,66,485,,
434,"Nursing School, Hota Road, Pakpattan East     (Male)",185,21,157,,
435,"Nursing School,Hota Road, Pakpattan  West (Female)",113,38,108,,
436,"Govt:MC Boys High School, No.2 Pakpattan, East  (Combined)",203,2,293,,
437,"Govt:MC Boys High School No.2 Pakpattan, West    (Male)",237,18,317,,
438,"Govt: MC.Girls  High School, No.2 Pakpattan West  (Female)",198,28,250,,
439,"Govt:  Fazil ka Islmia Boys High School, Pakpattan East   (Male)",263,22,319,,
440,"Govt:  Fazil ka Islmia Boys High School, Pakpattan West         (Female)",221,22,282,,
441,Govt:Faridia College for Boys Pakpattan (East) (Male),346,35,376,,
442,Govt:Faridia College for Boys Pakpattan (West) (Female),284,27,315,,
443,Govt:Faridia College for Boys Pakpattan  North   (Male),300,28,427,,
444,Govt:Faridia College for Boys Pakpattan  South  (Female),215,38,352,,
445,Office Municipal Committee Pakpattan East  (Male),179,18,308,,
446,Office Municipal Committee Pakpattan East  (Female),126,16,197,,
447,"Govt:MC Girls Middle School, Circular  Road, Pakpattan  East   (Combined)",405,29,515,,
448,Govt.Girls Primary School Tiba Sher Kot       (Combined),422,89,479,,
449,Govt.Girls Primary School Tiba Sher Kot (Combined),290,85,528,,
