No,Name,PML-N,PTI-IND,PPP,TLP,JIP,Total Votes,Filename
224,271-Government Boys High School Block 13 Sector B1 Township (Female)-I,208,281,44,15,31,,
225,272-Ever New Public School Block No.11-B-1 Township (Male)-I,287,404,21,126,19,,
226,273-Ever New Public School Block No.11-B-1 Township (Female)-I,160,267,13,24,7,,
227,274-Ever New Public School Block No.11-B-1 Township (Male)-II,272,299,27,56,13,,
228,275-Ever New Public School Block No.11-B-1 Township (Female)-II,135,189,12,18,10,,
229,276-Government Model Primary School 5B1 Township Lahore (Combined)-I,279,381,84,37,22,,
230,277-Government Model Primary School 5B1 Township Lahore (Male)-I,377,470,42,67,27,,
231,278-Government Model Primary School 5B1 Township Lahore (Female)-I,247,295,37,29,23,,
232,279-Government Primary School 5-A-II Township (Combined)-I,252,269,35,22,16,,
233,280-Divisional Public High School Township Sector AII (Male)-I,357,526,31,51,24,,
234,281-Divisional Public High School Township Sector AII (Female)-I,212,409,22,25,30,,
235,282-Divisional Public High School Township Sector AII (Male)-II,109,242,6,14,9,,
236,283-Divisional Public High School Township Sector AII (Female)-II,57,195,6,9,8,,
237,284-Government Girls Primary School 2-A-II Township (Male)-I,187,329,22,24,18,,
238,285-Government Girls Primary School 2-A-II Township (Female)-I,117,269,20,12,12,,
239,"286-Government Girls High School 2-A-II Township, Lahore Male-II",220,414,34,66,19,,
240,"287-Government Girls  High School 2-A-II Township, Lahore Female- III",136,259,15,20,13,,
241,"288-Government Girls High School 2-A-II Township, Lahore Male- III",162,299,20,25,8,,
242,"289-Government Girls  High School 2-A-II Township, Lahore Female- II",98,252,19,18,0,,
243,"290-Government Girls Middle School 2-A- II,Township (Male)-III",219,488,17,54,21,,
244,"291-Government Girls Middle School 2-A- II,Township (Female)-III",156,403,22,17,38,,
245,292-Government Primary School 5-A-II Township (Male)-I,323,498,34,55,21,,
246,293-Government Primary School 5-A-II Township (Female)-I,226,438,38,25,16,,
247,"294-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Male)-I",217,317,27,46,19,,
248,"295-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Female)-I",145,261,24,9,19,,
249,"296-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Male)- II",171,253,21,54,13,,
250,"297-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Female)-II",123,317,22,24,5,,
251,"298-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Combined)-I",179,448,29,11,25,,
252,"299-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Male)- III",131,317,16,7,28,,
253,"300-A-One Girls High School (Maktab-ul- Qadoos) Govt. Employees Co-orporative Housing Society A-1, Township Lahore (Female)-I",99,320,6,2,2,,
254,"301-A-One Girls High School Government Employees Co-orporative Housing Society A-1, Township Lahore (Male)- IV",125,270,21,10,21,,
255,"302-A-One Girls High School (Maktab-ul- Qadoos) Govt. Employees Co-orporative Housing Society A-1, Township Lahore (Female)-II",75,244,13,6,27,,
256,303-Government Commercial Vocational Training Institute near (QadriChowk) CII Township (Male)-I,302,402,76,63,51,,
257,304-Government Commercial Vocational Training Institute near (QadriChowk) CII Township (Female)-I,170,200,80,27,36,,
258,305-Government Commercial Vocational Training Institute near (QadriChowk) CII Township (Male)-II,220,304,60,35,52,,
259,306-Government Commercial Vocational Training Institute near (QadriChowk) CII Township (Female)-II,176,202,64,11,45,,
260,307-Government Commercial Vocational Training Institute near (QadriChowk) CII Township (Combined)-I,270,384,55,35,58,,
261,308-Government High School Bahari Colony 3CII Green Town Lahore (Male)-I,202,349,78,48,27,,
262,309-Government High School Bahari Colony 3CII Green Town Lahore (Female)-I,112,194,62,26,59,,
263,310-Government Boys Higher Secondary School 5Cll Muslim Chowk Green Town (Male)-I,177,272,72,30,34,,
264,311-Government Boys Higher Secondary School 5Cll Muslim Chowk Green Town (Female)-I,110,191,58,14,31,,
265,312-Government High School Bahari Colony 3CII Green Town Lahore (Male)-II,346,236,136,31,42,,
266,313-Government High School Bahari Colony 3CII Green Town Lahore (Female)-II,191,168,150,10,19,,
267,314-Government Apprentice Training Center College Road Township (Male)-I,260,721,25,39,57,,
268,315-Government Apprentice Training Center College Road Township (Female)-I,145,527,7,7,44,,
269,"316-Government Boys College C-1, Township Lahore (Male)-I",187,356,14,22,31,,
270,"317-Government Boys College C-1, Township Lahore (Female)-I",108,276,7,11,16,,
271,"318-Government Boys College C-1, Township Lahore (Combined)-I",241,523,32,17,23,,
272,319-Government Boy College C1 Township Lahore (Male)-I,231,408,25,15,33,,
273,320-Government Boy College C1 Township Lahore (Female)-I,171,374,20,4,36,,
274,321-Government Degree College for women C-1 Township Lahore (Combined)-I,135,503,23,13,23,,
275,322-Government Environmental &Population Labour Deptt CI Township Near (CivicCenter) (Male)-I,135,308,9,21,18,,
276,323-Government Environmental &Population Labour Deptt CI Township Near (CivicCenter) (Female)-I,83,248,11,0,18,,
277,"324-Governent Aslam Junior Primary School, 3- B-2, Township Lahore (Male) (Male)-I",186,427,8,20,21,,
278,"325-Government Aslam Junior Primary School 3-B- 2 Township, Lahore (Female)-I",118,312,8,8,29,,
279,"326-Lahore Garrison School I-B-2 Township, Lahore (Male)-I",366,625,31,21,44,,
280,"327-Lahore Garrison School I-B-2 Township, Lahore (Female)-I",216,492,20,11,37,,
281,328-Government Practacing Girls High School Sector CI Township near (Civil Defence Office) (Male)-I,210,510,18,29,43,,
282,329-Government Practacing Girls High School Sector CI Township near (Civil Defence Office) (Female)- I,135,415,16,14,23,,
283,"330-Government High School 3-C-2 Behari Colony Green Town, Lahore Male-I",306,495,44,70,73,,
284,"331-Government High School 3-C-2 Behari Colony Green Town, Lahore Female-I",205,339,41,39,50,,
332,332-Rainbow Public School Girls Campus Mian Bazar Green Town Lahore (Combined)-I,129,153,41,19,17,,
305,333-Government Boys Elementary School Block no 4-D-1 Keer Kalan Lahore (Male)-II,208,228,40,64,36,,
306,334-Government Boys Elementary School Block no 4-D-1 Keer Kalan Lahore (Female)-II,146,205,73,18,34,,
307,335-Government Boys Elementary School Block no 4-D-1 Keer Kalan Lahore (Male)-III,177,277,49,49,10,,
308,336-Government Boys Elementary School Block no 4-D-1 Keer Kalan Lahore (Female)-III,141,170,73,20,13,,
55,"337-The Life School Awami Colony St.1, Behind LGH Kot Lakhpat (Female) (Female)-I",105,86,61,15,16,,
